PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
50672861,2016,Laura C. Rodrigues,London School of Hygiene & Tropical Medicine,London,England,United Kingdom,51.5209041,-0.1303123
50672861,2016,Jacco Wallinga,National Institute for Public Health and the Environment,,,,,
50672861,2016,S. Bertel Squire,Liverpool School of Tropical Medicine,Liverpool,England,United Kingdom,53.40855440000001,-2.969074
16435223,2016,A. Moya,Universidad Pablo de Olavide,Sevilla,Andalucía,Spain,37.3552405,-5.937404099999999
16435223,2016,Clemente J. Navarro,Universidad Pablo de Olavide,Sevilla,Andalucía,Spain,37.3552405,-5.937404099999999
67379448,2016,Madhu Gupta,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,India,30.7649984,76.7755589
67379448,2016,Federica Angeli,Maastricht University,Maastricht,Limburg,Netherlands,50.8469602,5.6879801
67379448,2016,Hans Bosma,Maastricht University,Maastricht,Limburg,Netherlands,50.8469602,5.6879801
67379448,2016,Monica Rana,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,India,30.7649984,76.7755589
67379448,2016,Shankar Prinja,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,India,30.7649984,76.7755589
67379448,2016,Rajesh Kumar,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,India,30.7649984,76.7755589
67379448,2016,Onno C. P. van Schayck,Maastricht University,Maastricht,Limburg,Netherlands,50.8469602,5.6879801
79795229,2016,Anna Matheson,Massey University,,,,,
19852836,2016,David S. Knight,The University of Texas at El Paso,El Paso,Texas,United States,31.7731979,-106.5047208
19852836,2016,Katharine O. Strunk,University of Southern California,Los Angeles,California,United States,34.0223519,-118.285117
58235330,2016,Gerhard Bösch,University of Duisburg-Essen,Duisburg,Nordrhein-Westfalen,Germany,51.42781300000001,6.799585599999999
58235330,2016,Claudia Weinkopf,University of Duisburg-Essen,Duisburg,Nordrhein-Westfalen,Germany,51.42781300000001,6.799585599999999
88107940,2016,Muhammed N. Islam,Concordia University,Montreal,Quebec,Canada,45.4948363,-73.5779128
466775,2016,Jillian Roberts,University College London,London,England,United Kingdom,51.52455920000001,-0.1340401
466775,2016,Angela Donkin,University College London,London,England,United Kingdom,51.52455920000001,-0.1340401
466775,2016,Michael Marmot,University College London,London,England,United Kingdom,51.52455920000001,-0.1340401
75013042,2016,Hannah Dale,NHS Fife,Kirkcaldy,Scotland,United Kingdom,56.1259479,-3.1609657
75013042,2016,Lea C. Watson,University of St Andrews,,,,,
75013042,2016,Pauline Adair,NHS Fife,Kirkcaldy,Scotland,United Kingdom,56.1259479,-3.1609657
75013042,2016,Gerry Humphris,University of Strathclyde,Glasgow,Scotland,United Kingdom,55.8619473,-4.2423246
10890939,2016,Zhenying Zhang,RWTH Aachen University,Aachen,Nordrhein-Westfalen,Germany,50.7775413,6.077485299999999
10890939,2016,Eduard Bader,Institute for Advanced Study,Princeton,New Jersey,United States,40.3316778,-74.66808329999999
10890939,2016,Karen Veroy,RWTH Aachen University,Aachen,Nordrhein-Westfalen,Germany,50.7775413,6.077485299999999
91543331,2016,Daniel Fuller,University of Saskatchewan,Saskatoon,Saskatchewan,Canada,52.1333989,-106.6313567
91543331,2016,Josh Neudorf,University of Saskatchewan,Saskatoon,Saskatchewan,Canada,52.1333989,-106.6313567
91543331,2016,Silvia Bermedo-Carrasco,University of Saskatchewan,Saskatoon,Saskatchewan,Canada,52.1333989,-106.6313567
91543331,2016,Cory Neudorf,University of Saskatchewan,Saskatoon,Saskatchewan,Canada,52.1333989,-106.6313567
42539814,2016,Eva M. Moya,The University of Texas at El Paso,El Paso,Texas,United States,31.7731979,-106.5047208
42539814,2016,Silvia Chávez-Baray,The University of Texas at El Paso,El Paso,Texas,United States,31.7731979,-106.5047208
42539814,2016,William Wood,University of Wisconsin–Milwaukee,Milwaukee,Wisconsin,United States,43.078263,-87.8819686
42539814,2016,Omar Martínez,Temple University,Philadelphia,Pennsylvania,United States,39.9811911,-75.1553563
57621944,2016,Christine Bigby,La Trobe University,,,,,
1088421,2016,Leanne Dowse,UNSW Sydney,Sydney,New South Wales,Australia,-33.917347,151.2312675
1088421,2016,Angela Dew,UNSW Sydney,Sydney,New South Wales,Australia,-33.917347,151.2312675
74705869,2016,Stacey Clough,Barts Health NHS Trust,London,England,United Kingdom,51.5178708,-0.0588687
74705869,2016,Zahra Shehabi,Barts Health NHS Trust,London,England,United Kingdom,51.5178708,-0.0588687
74705869,2016,Craig Morgan,Barts Health NHS Trust,London,England,United Kingdom,51.5178708,-0.0588687
26561778,2016,Metin Akyol,Technical University of Darmstadt,Darmstadt,Hessen,Germany,49.8748699,8.6563634
59247346,2016,Emily K. Rousham,Loughborough University,Loughborough,England,United Kingdom,52.7650253,-1.2320904
59247346,2016,Ikhtiar Uddin Khandakar,Save the Children,,,,,
56171184,2016,Marcos Fernández Gutiérrez,Universidad de Cantabria,Santander,Cantabria,Spain,43.471704,-3.8019739
56171184,2016,Oliver James,University of Exeter,Exeter,England,United Kingdom,50.7371369,-3.5351475
56171184,2016,Sebastian Jilke,Rütgers (Germany),Berlin,Thüringen,Germany,51.165691,10.451526
16965942,2016,Eduard Bader,RWTH Aachen University,Aachen,Nordrhein-Westfalen,Germany,50.7775413,6.077485299999999
16965942,2016,Z. Zhang,Institute for Advanced Study,Princeton,New Jersey,United States,40.3316778,-74.66808329999999
16965942,2016,Karen Veroy,RWTH Aachen University,Aachen,Nordrhein-Westfalen,Germany,50.7775413,6.077485299999999
84069546,2016,Hannele Palosuo,Finnish Institute for Health and Welfare,,,Finland,61.92410999999999,25.748151
84069546,2016,Marita Sihto,Finnish Institute for Health and Welfare,,,Finland,61.92410999999999,25.748151
55158769,2016,Alexia Gaudeul,European Commission,,,,,
19693241,2016,Abebe Shimeles,,,,,,
87656375,2016,Steve Wing,University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,United States,35.9049122,-79.0469134
17200189,2016,Nathalie Fau,Université Paris Cité,Paris,Île-de-France,France,48.8555506,2.3318549
37047903,2016,Johannes F. Schmieder,W.E. Upjohn Institute for Employment Research,Kalamazoo,Michigan,United States,42.2891804,-85.59025249999999
45068312,2016,Lorenzo Menna,University of Milano-Bicocca,Milano,Lombardia,Italy,45.5182898,9.2137614
45068312,2016,Patrizio Tirelli,University of Milano-Bicocca,Milano,Lombardia,Italy,45.5182898,9.2137614
26837753,2016,Robert I. Lerman,,,,,,
19419168,2016,Ruth N. López Turley,Rice University,Houston,Texas,United States,29.7168363,-95.4035531
47219406,2016,Ünal Seven,,,,,,
47219406,2016,Yener Çoşkun,,,,,,
89444132,2016,Boniface Ngah Epo,,,,,,
89444132,2016,Francis Menjo Baye,,,,,,
5041337,2016,Kathy Boxall,Edith Cowan University,Joondalup,Western Australia,Australia,-31.7522505,115.7728829
2154955,2016,Nozomi Kimura,,,,,,
82113367,2016,Francis Cripps,,,,,,
82113367,2016,Naret Khurasee,,,,,,
39779956,2016,Z. R. Gabidullina,Kazan Federal University,Kazan,Respublika Tatarstan,Russia,55.7906985,49.1216444
16121737,2016,Bishnu Prasad Sharma,Tribhuvan University,Kathmandu,Bagmati Province,Nepal,27.6806722,85.28346289999999
65181864,2016,Predrag Bejaković,,,,,,
65181864,2016,Željko Mrnjavac,,,,,,
75759239,2016,Billie Giles‐Corti,University of Melbourne,Parkville,Victoria,Australia,-37.7983459,144.960974
21990949,2016,Lorna Hallahan,Flinders University,,,,,
55845879,2016,Sergio Mukherjee,Cornell University,Ithaca,New York,United States,42.4534492,-76.4735027
55845879,2016,H. B. Sandvik,Heidelberg University,Heidelberg,Baden-Württemberg,Germany,49.41066,8.706554299999999
14758453,2017,Mickaël Jury,Université Clermont Auvergne,Clermont-Ferrand,Auvergne-Rhône-Alpes,France,45.7698621,3.0936363
14758453,2017,Annique Smeding,University of Geneva,Geneva,Geneva,Switzerland,46.199444,6.1451157
14758453,2017,Nicole M. Stephens,Université Savoie Mont Blanc,Chambéry,Auvergne-Rhône-Alpes,France,45.56675990000001,5.917586399999999
14758453,2017,Jessica Nelson,Kellogg's (Canada),,,Canada,56.130366,-106.346771
14758453,2017,Cristina Aelenei,Kellogg's (Canada),,,Canada,56.130366,-106.346771
14758453,2017,Céline Darnon,Université Clermont Auvergne,Clermont-Ferrand,Auvergne-Rhône-Alpes,France,45.7698621,3.0936363
89510815,2017,Hilary Hoynes,National Bureau of Economic Research,,,,,
89510815,2017,Ankur Patel,National Bureau of Economic Research,,,,,
39848515,2017,Katherine Bristowe,Cicely Saunders International,,,,,
39848515,2017,Matthew Hodson,King's College London,London,England,United Kingdom,51.5114864,-0.115997
39848515,2017,Bee Wee,University of Oxford,Oxford,England,United Kingdom,51.75704289999999,-1.2545179
39848515,2017,Kathryn Almack,University of Nottingham,Nottingham,England,United Kingdom,52.9387922,-1.1981057
39848515,2017,Katherine Johnson,University of Brighton,,,,,
39848515,2017,Barbara A Daveson,Cicely Saunders International,,,,,
39848515,2017,Jonathan Koffman,King's College London,London,England,United Kingdom,51.5114864,-0.115997
39848515,2017,Linda McEnhill,Cicely Saunders International,,,,,
39848515,2017,Richard Harding,King's College London,London,England,United Kingdom,51.5114864,-0.115997
29182404,2017,Vikki Boliver,Durham University,Durham,England,United Kingdom,54.7649859,-1.5782029
33654482,2017,Astraea Augsberger,Boston University,Boston,Massachusetts,United States,42.3504997,-71.1053991
33654482,2017,Mary Elizabeth Collins,Boston University,Boston,Massachusetts,United States,42.3504997,-71.1053991
33654482,2017,Whitney Gecker,Boston University,Boston,Massachusetts,United States,42.3504997,-71.1053991
33654482,2017,Meaghan Dougher,Boston University,Boston,Massachusetts,United States,42.3504997,-71.1053991
46036439,2017,Wim Van Lancker,University of Antwerp,Antwerpen,Vlaams Gewest,Belgium,51.2228074,4.410239
18507201,2017,Lucas Chancel,Paris School of Economics,Paris,Île-de-France,France,48.82228,2.3308392
18507201,2017,Alex Hough,Institut du Développement Durable et des Relations Internationales,,,,,
18507201,2017,Tancrède Voituriez,Institut du Développement Durable et des Relations Internationales,,,,,
53662846,2017,Frances Gardner,University of Oxford,Oxford,England,United Kingdom,51.75704289999999,-1.2545179
53662846,2017,Patty Leijten,University of Oxford,Oxford,England,United Kingdom,51.75704289999999,-1.2545179
53662846,2017,Joanna Mann,University of Oxford,Oxford,England,United Kingdom,51.75704289999999,-1.2545179
53662846,2017,Sabine Landau,King's College London,London,England,United Kingdom,51.5114864,-0.115997
53662846,2017,Victoria Harris,King's College London,London,England,United Kingdom,51.5114864,-0.115997
53662846,2017,Jennifer Beecham,London School of Economics and Political Science,London,England,United Kingdom,51.5144388,-0.1164513
53662846,2017,Eva‐Maria Bonin,London School of Economics and Political Science,London,England,United Kingdom,51.5144388,-0.1164513
53662846,2017,Judy Hutchings,Bangor University,Bangor,Wales,United Kingdom,53.22836780000001,-4.1294373
53662846,2017,Stephen Scott,King's College London,London,England,United Kingdom,51.5114864,-0.115997
66928668,2017,Élodie Guillaume,Inserm,,,,,
66928668,2017,Ludivine Launay,Inserm,,,,,
66928668,2017,Olivier Dejardin,Inserm,,,,,
66928668,2017,Véronique Bouvier,Université de Caen Normandie,Caen,Normandie,France,49.192806,-0.363926
66928668,2017,Lydia Guittet,Inserm,,,,,
66928668,2017,Pauline Déan,Université de Caen Normandie,Caen,Normandie,France,49.192806,-0.363926
66928668,2017,Annick Notari,Inserm,,,,,
66928668,2017,Rémy De Mil,Université de Caen Normandie,Caen,Normandie,France,49.192806,-0.363926
66928668,2017,Guy Launoy,Université de Caen Normandie,Caen,Normandie,France,49.192806,-0.363926
12130576,2017,Sigrid Röhrs,Deutsche Bundesbank,,,,,
12130576,2017,Christoph Winter,Swiss National Bank,Uhwiesen,Obwalden,Switzerland,46.818188,8.227511999999999
29354683,2017,Anthony B. Atkinson,New College,,,,,
29354683,2017,Chrysa Leventi,University of Oxford,Oxford,England,United Kingdom,51.75704289999999,-1.2545179
29354683,2017,Brian Nolan,Institute for Social and Economic Research,Colchester,England,United Kingdom,51.8767465,0.9445617
29354683,2017,Holly Sutherland,University of Essex,,,,,
29354683,2017,Iva Valentinova Tasseva,New College,,,,,
48958719,2017,Lorenzo Menna,University of Milano-Bicocca,Milano,Lombardia,Italy,45.5182898,9.2137614
48958719,2017,Patrizio Tirelli,Bank of Mexico,Mezquitillo,Zacatecas,Mexico,23.634501,-102.552784
165256,2017,Malika Leneuve‐Dorilas,Centre Hospitalier Andrée Rosemon,Cayenne,Arrondissement de Cayenne,French Guiana,4.923551799999999,-52.3200783
165256,2017,A. Favre,Centre Hospitalier Andrée Rosemon,Cayenne,Arrondissement de Cayenne,French Guiana,4.923551799999999,-52.3200783
165256,2017,Gabriel Carles,Centre Hospitalier Andrée Rosemon,Cayenne,Arrondissement de Cayenne,French Guiana,4.923551799999999,-52.3200783
165256,2017,Alphonse Louis,Centre Hospitalier Andrée Rosemon,Cayenne,Arrondissement de Cayenne,French Guiana,4.923551799999999,-52.3200783
165256,2017,Mathieu Nacher,Centre Hospitalier Andrée Rosemon,Cayenne,Arrondissement de Cayenne,French Guiana,4.923551799999999,-52.3200783
20953314,2017,Rucker C. Johnson,University of Michigan–Ann Arbor,Ann Arbor,Michigan,United States,42.277145,-83.7382071
20953314,2017,C. Kirabo Jackson,National Bureau of Economic Research,,,,,
74049185,2017,Tom D. Kennedy,University of New England,Biddeford,Maine,United States,43.4582904,-70.3865402
74049185,2017,Maria Rae,Deakin University,,,,,
74049185,2017,Alison Sheridan,University of New England,Biddeford,Maine,United States,43.4582904,-70.3865402
74049185,2017,Abbas Valadkhani,Swinburne University of Technology,Hawthorn,Victoria,Australia,-37.8221504,145.0389546
28390807,2017,Tiffany N. Brannon,"University of California, Los Angeles",Los Angeles,California,United States,34.0699182,-118.4438495
