PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,sdg_query_source,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
43341014,2020,article,349,8,"['Thijs Bouman', 'Mark Verschoor', 'Casper J. Albers', 'Gisela Böhm', 'Stephen D. Fisher', 'Wouter Poortinga', 'Lorraine Whitmarsh', 'Linda Steg']","['University of Groningen', 'University of Groningen', 'University of Groningen', 'Inland Norway University of Applied Sciences', 'University of Bergen', 'University of Oxford', 'Cardiff University', 'Cardiff University', 'University of Groningen']","[{'item': 34966238}, {'item': 42803629}, {'item': 45780052}, {'item': 56060927}, {'item': 46350010}, {'item': 67855825}, {'item': 95970589}, {'item': 24428882}, {'item': 20727367}, {'item': 19890275}, {'item': 67944963}, {'item': 93842660}, {'item': 16232386}, {'item': 15984484}, {'item': 65348749}, {'item': 89502980}, {'item': 55655320}, {'item': 25701247}, {'item': 59401211}, {'item': 29507212}, {'item': 22896627}, {'item': 64322479}, {'item': 6495918}, {'item': 40442643}, {'item': 10171605}, {'item': 14686636}, {'item': 90417546}, {'item': 18409815}, {'item': 13298185}, {'item': 6700485}, {'item': 82881825}, {'item': 30829750}, {'item': 93420520}, {'item': 28556670}, {'item': 78450556}, {'item': 99934391}, {'item': 95348362}, {'item': 97044076}, {'item': 81627014}, {'item': 86472532}, {'item': 98425279}, {'item': 96830426}, {'item': 42587964}, {'item': 18158838}, {'item': 2030789}, {'item': 23900504}, {'item': 95531877}, {'item': 19949776}, {'item': 54684113}, {'item': 75387485}, {'item': 59735561}, {'item': 91267816}, {'item': 88460677}, {'item': 30247443}, {'item': 29771501}, {'item': 35611639}, {'item': 51464333}, {'item': 92264266}, {'item': 63373613}, {'item': 22558130}, {'item': 89598279}, {'item': 32336754}, {'item': 87500875}, {'item': 63705979}, {'item': 18020030}, {'item': 34614135}, {'item': 50065754}, {'item': 46641826}, {'item': 23249062}, {'item': 13352279}, {'item': 87999535}, {'item': 86928418}, {'item': 89628830}, {'item': 55205992}]",Worry,Climate change,Feeling,['Climate Action'],Climate Action,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.6183959807700115
12294526,2020,article,199,2,"['Michaël Aklin', 'Matto Mildenberger']",['University of Pittsburgh'],"[{'item': 38846791}, {'item': 77473987}, {'item': 3215560}, {'item': 9113915}, {'item': 3541087}, {'item': 42811394}, {'item': 50777862}, {'item': 3872678}, {'item': 24481648}, {'item': 92833341}, {'item': 89596253}, {'item': 92162503}, {'item': 62314510}, {'item': 41471226}, {'item': 3846652}, {'item': 27846161}, {'item': 83403220}, {'item': 14914380}, {'item': 29763388}, {'item': 55398965}, {'item': 66298532}, {'item': 18415057}, {'item': 37242207}, {'item': 59556293}, {'item': 18439462}, {'item': 29204644}, {'item': 97814175}, {'item': 19000834}, {'item': 41314837}, {'item': 31198172}, {'item': 76669494}, {'item': 75459043}, {'item': 47958185}, {'item': 91007636}, {'item': 81296181}, {'item': 13497614}, {'item': 42520482}, {'item': 20256835}, {'item': 60874667}, {'item': 91768046}, {'item': 71271185}, {'item': 80831176}, {'item': 32721640}, {'item': 14397793}, {'item': 58991686}, {'item': 65995444}, {'item': 78793975}, {'item': 7358364}, {'item': 79938061}, {'item': 81186066}, {'item': 94401423}, {'item': 28302187}, {'item': 17443200}, {'item': 7205975}, {'item': 13443827}, {'item': 73680530}]",Collective action,Politics,Climate change,['Climate Action'],Climate Action,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.7975325231618844
4006415,2020,article,189,3,"['Judy Wu', 'Gaelen Snell', 'Hasina Samji']","['University of British Columbia', 'Simon Fraser University', 'Simon Fraser University', 'BC Centre for Disease Control']","[{'item': 29247169}, {'item': 79203222}, {'item': 4406495}, {'item': 25757414}, {'item': 99176599}, {'item': 36337430}, {'item': 87042955}, {'item': 30381651}]",Call to action,Anxiety,Action (physics),['Climate Action'],Climate Action,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 5000, 'currency': 'USD', 'value_usd': 5000, 'provenance': 'doaj'}",Missing,-8.307494564956167
96233061,2020,article,185,3,"['Parrish Bergquist', 'Matto Mildenberger', 'Leah Stokes']","['Yale University', 'University of California, Santa Barbara', 'University of California, Santa Barbara']","[{'item': 22195179}, {'item': 78173449}, {'item': 50777862}, {'item': 63070240}, {'item': 77761353}, {'item': 20951888}, {'item': 48336520}, {'item': 54833331}, {'item': 67616606}, {'item': 92149575}, {'item': 71718294}, {'item': 69910972}, {'item': 64627188}, {'item': 178935}, {'item': 20137526}, {'item': 1985681}, {'item': 50903836}, {'item': 9191532}, {'item': 13480571}, {'item': 95415042}, {'item': 14631559}, {'item': 79191291}, {'item': 29606426}, {'item': 84949429}, {'item': 76201444}, {'item': 4589989}, {'item': 82244970}]",Climate change,Political economy of climate change,Public policy,['Climate Action'],Climate Action,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1550, 'currency': 'GBP', 'value_usd': 1901, 'provenance': 'doaj'}",Missing,-4.546769170372873
71216860,2020,article,178,25,"['Stelios Grafakos', 'G. Viero', 'Diana Reckien', 'Kate Trigg', 'Vincent Viguié', 'Andrew Sudmant', 'Catherine Graves', 'Aoife Foley', 'Oliver Heidrich', 'J.M. Mirailles', 'Jeremy Carter', 'Liang Chang', 'C. Nador', 'M. Liseri', 'Lorenzo Chelleri', 'Hans Orru', 'Kati Orru', 'R. Aelenei', 'Anna Bilska', 'Basile Pfeiffer', 'Quentin Lepetit', 'Jon Marco Church', 'Mia Landauer', 'Andy Gouldson', 'Richard Dawson']","['Re-shaping Development Institute', 'Environmental Technologies (United States)', 'Laurens', 'University of Twente', 'Centre international de recherche sur l’environnement et le développement', 'University of Leeds', 'University of Leeds', ""Queen's University Belfast"", 'Tyndall Centre', 'Newcastle University', 'Ramboll (Denmark)', 'University of Manchester', 'Universitat Internacional de Catalunya', 'University of Tartu', 'University of Tartu', 'Centre international de recherche sur l’environnement et le développement', 'Ramboll (Denmark)', 'Centre international de recherche sur l’environnement et le développement']","[{'item': 47347028}, {'item': 62700046}, {'item': 81520208}, {'item': 95141284}, {'item': 20193388}, {'item': 99202435}, {'item': 70902658}, {'item': 89478643}, {'item': 74477701}, {'item': 40992135}, {'item': 10002950}, {'item': 11191608}, {'item': 27354216}, {'item': 1058576}, {'item': 57795599}, {'item': 7894961}, {'item': 7048231}, {'item': 47013223}, {'item': 1830765}, {'item': 42438201}, {'item': 4696735}, {'item': 48750664}, {'item': 23781694}, {'item': 87281716}, {'item': 98411704}, {'item': 26629988}, {'item': 78073230}, {'item': 28863061}, {'item': 40019647}, {'item': 60426038}, {'item': 75267611}, {'item': 72131815}, {'item': 96842007}, {'item': 99274666}, {'item': 12230304}, {'item': 11702700}, {'item': 77381955}, {'item': 71628787}, {'item': 9451156}, {'item': 8986695}, {'item': 2792752}, {'item': 55210403}, {'item': 87268942}, {'item': 6258187}]",Action plan,Climate change,Adaptation (eye),['Climate Action'],Climate Action,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.6769146316796695
67607598,2020,article,51,1,['Osman Gülseven'],['Skyline University College'],"[{'item': 65196564}, {'item': 28607197}, {'item': 55699562}, {'item': 89383696}, {'item': 16195792}, {'item': 93370889}, {'item': 96981274}, {'item': 59929108}, {'item': 26995021}, {'item': 84399076}, {'item': 7058308}, {'item': 13775924}, {'item': 81255985}, {'item': 80171678}, {'item': 55170735}, {'item': 22521375}, {'item': 22199724}, {'item': 65560158}, {'item': 3933507}, {'item': 3811994}, {'item': 5650691}, {'item': 64816153}, {'item': 22596720}, {'item': 1983976}, {'item': 91571072}, {'item': 44907975}, {'item': 57931692}, {'item': 98037742}, {'item': 53933391}, {'item': 26813857}, {'item': 91046467}, {'item': 66823935}, {'item': 96439091}, {'item': 39243140}]",Sustainable development,Index (typography),Environmental planning,['Life Below Water'],Life Below Water,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.575672916555222
22105429,2020,article,35,2,"['Olga Montes García', 'Carl Cater']","['Aberystwyth University', 'Swansea University']","[{'item': 71432414}, {'item': 19706406}, {'item': 31087300}, {'item': 62837597}, {'item': 60837167}, {'item': 46574372}, {'item': 64390138}, {'item': 72948300}, {'item': 6527554}, {'item': 31668207}, {'item': 22055481}, {'item': 17707593}, {'item': 47029069}, {'item': 36745260}, {'item': 22509908}, {'item': 9314716}, {'item': 29702431}, {'item': 10964875}, {'item': 40987496}, {'item': 33475597}, {'item': 173884}, {'item': 14352013}, {'item': 85467973}, {'item': 45095220}, {'item': 80635207}, {'item': 7170844}, {'item': 23537375}, {'item': 93356578}, {'item': 97450292}, {'item': 88170640}, {'item': 4836533}, {'item': 45896923}, {'item': 4061911}, {'item': 85682422}, {'item': 11405776}, {'item': 43548994}, {'item': 90674690}, {'item': 66885284}, {'item': 23515960}, {'item': 28963918}, {'item': 24018328}, {'item': 41752069}, {'item': 15127611}, {'item': 39825706}]",Stakeholder,Sustainability,Tourism,['Life Below Water'],Life Below Water,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.9837674511197236
22296976,2020,article,17,2,"['Simon J. Pittman', 'William D. Heyman']","['University of Plymouth', 'Bryan College']","[{'item': 85830790}, {'item': 54843558}, {'item': 65501941}, {'item': 501292}, {'item': 43374048}, {'item': 6023748}, {'item': 15228284}, {'item': 51260811}, {'item': 11349784}, {'item': 86566969}, {'item': 58934526}, {'item': 71005380}, {'item': 32646589}, {'item': 55934762}, {'item': 97042813}, {'item': 59492663}, {'item': 68297796}, {'item': 18663599}, {'item': 57711784}, {'item': 88361599}, {'item': 75918717}, {'item': 60430064}, {'item': 4858762}, {'item': 51376138}, {'item': 46018083}, {'item': 45019252}]",Nexus (standard),Fishing,Spawn (biology),['Life Below Water'],Life Below Water,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1705, 'currency': 'EUR', 'value_usd': 2300, 'provenance': 'doaj'}",Missing,-5.761563213330392
40660529,2020,book,14,5,"['Walter Leal Filho', 'Anabela Marisa Azul', 'Luciana Brandli', 'Amanda Lange Sálvia', 'Tony Wall']","['HAW Hamburg', 'Universität Hamburg', 'University of Coimbra', 'Universidade de Passo Fundo', 'HAW Hamburg', 'Liverpool John Moores University']","[{'item': 48336981}, {'item': 67464779}, {'item': 36017836}, {'item': 14822612}, {'item': 4995111}, {'item': 134691}, {'item': 23795719}, {'item': 95790325}, {'item': 66043112}, {'item': 88058954}, {'item': 30418554}, {'item': 50501784}, {'item': 81255985}, {'item': 2444177}, {'item': 22521375}, {'item': 36084359}, {'item': 16830612}, {'item': 65196354}, {'item': 7929259}, {'item': 69472162}, {'item': 63298993}, {'item': 73781490}, {'item': 97541716}, {'item': 6683803}, {'item': 24162270}, {'item': 6878920}, {'item': 65826604}, {'item': 18288872}, {'item': 79855148}, {'item': 47715710}]",Environmental science,,,['Life Below Water'],Life Below Water,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.555352914064264
66600802,2020,article,3,1,['Rasheed Moruf'],['Bayero University Kano'],"[{'item': 33000229}, {'item': 49990483}, {'item': 98987087}, {'item': 13139432}, {'item': 36669122}, {'item': 19801164}, {'item': 59348129}, {'item': 6441663}, {'item': 61946166}, {'item': 90344830}, {'item': 14105316}, {'item': 40963278}, {'item': 96641284}, {'item': 57208379}, {'item': 45019252}, {'item': 54451204}]",Sustainability,Fishing,Marine conservation,['Life Below Water'],Life Below Water,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.802385207850648
