PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
80059388,2018,Μαρία Παναγιωτοπούλου,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
92704113,2018,Nguyen Hoang My Lan,,,,,,
13885333,2019,Janaína Macke,Faculdade Meridional,,Rio Grande do Sul,Brazil,-28.265073,-52.397265
13885333,2019,Jo�ão Alberto Rubim Sarate,Universidade de Caxias do Sul,,Rio Grande do Sul,Brazil,-29.1666901,-51.1495142
13885333,2019,Suane de Atayde Moschen,National Nuclear Energy Commission,,,,,
63257363,2019,Simon J. Pittman,University of Plymouth,Plymouth,England,United Kingdom,50.3758892,-4.1395842
63257363,2019,Lynda D. Rodwell,University of Plymouth,Plymouth,England,United Kingdom,50.3758892,-4.1395842
63257363,2019,Rebecca Shellock,University of Exeter,Exeter,England,United Kingdom,50.7371369,-3.5351475
63257363,2019,Malcolm Williams,Plymouth Marine Laboratory,Plymouth,England,United Kingdom,50.3660894,-4.1481746
63257363,2019,Martin J. Attrill,University of Plymouth,Plymouth,England,United Kingdom,50.3758892,-4.1395842
63257363,2019,Jacob Bedford,Severn Trent (United Kingdom),Moffat,Scotland,United Kingdom,55.378051,-3.435973
63257363,2019,Kaja Curry,University of Plymouth,Plymouth,England,United Kingdom,50.3758892,-4.1395842
63257363,2019,Stephen Fletcher,University of Plymouth,Plymouth,England,United Kingdom,50.3758892,-4.1395842
63257363,2019,Sarah Gall,University of Plymouth,Plymouth,England,United Kingdom,50.3758892,-4.1395842
63257363,2019,Jason Lowther,Plymouth City Council,Plymouth,England,United Kingdom,50.3754565,-4.1426565
63257363,2019,Abigail McQuatters‐Gollop,World Conservation Monitoring Centre,,,,,
63257363,2019,K.L. Moseley,University of Plymouth,Plymouth,England,United Kingdom,50.3758892,-4.1395842
63257363,2019,Siân E. Rees,University of Plymouth,Plymouth,England,United Kingdom,50.3758892,-4.1395842
41150488,2019,Walter Leal Filho,Universität Hamburg,Hamburg,Hamburg,Germany,53.5630754,9.9884042
41150488,2019,Anabela Marisa Azul,HAW Hamburg,Hamburg,Hamburg,Germany,53.55620949999999,10.0225391
41150488,2019,Luciana Brandli,University of Coimbra,Coimbra,Coimbra District,Portugal,40.2076394,-8.4260932
